Key,Summary,Status,Affected Versions
HIVE-24198,Map side SMB join is producing wrong result,Resolved,4.0.0
HIVE-24193,Select query on renamed hive acid table does not produce any output,Closed,3.1.2
HIVE-24165,CBO: Query fails after multiple count distinct rewrite ,Resolved,4.0.0
HIVE-24147,Table column names are not extracted correctly in Hive JDBC storage handler,Closed,4.0.0
HIVE-24122,"When CBO is enable, CAST(STR as Bigint)IS NOT NULL result is wrong ",Closed,"3.1.0, 3.1.2"
HIVE-24113,NPE in GenericUDFToUnixTimeStamp,Closed,3.1.2
HIVE-24101,Invalid table alias order by columns(>=2) if cbo is false,Resolved,3.1.0
HIVE-24099,"unix_timestamp,intersect,except throws NPE",Resolved,3.1.0
HIVE-24097,correct NPE exception in HiveMetastoreAuthorizer,Closed,4.0.0
HIVE-24094,"cast type mismatch and use is not null, the results are error if cbo is true",Closed,3.1.0
HIVE-24083,hcatalog error in Hadoop 3.3.0: authentication type needed,Resolved,3.1.2
HIVE-24070,ObjectStore.cleanWriteNotificationEvents OutOfMemory on large number of pending events,Closed,4.0.0
HIVE-24068,Add re-execution plugin for handling DAG submission and unmanaged AM failures,Closed,4.0.0
HIVE-24030,Upgrade ORC to 1.5.10,Closed,4.0.0
HIVE-24020,Automatic Compaction not working in existing partitions for Streaming Ingest with Dynamic Partition,Closed,"3.1.2, 4.0.0"
HIVE-23980,Shade guava from existing Hive versions,Resolved,2.3.7
HIVE-23974,(hadoop3.3.0 + hive2.3.7) start hiveserver2 get exception: java.lang.IllegalAccessError: tried to access method com.google.common.base.Stopwatch,Resolved,2.3.7
HIVE-23968,CTAS with TBLPROPERTIES ('transactional'='false') does not entertain translated table location,Closed,4.0.0
HIVE-23962,Make bin/hive pick user defined jdbc url ,Closed,4.0.0
HIVE-23925,Flaky test TestJdbcWithMiniHS2,Closed,4.0.0
HIVE-23887,Reset table level basic/column stats during import.,Closed,4.0.0
HIVE-23873,Querying Hive JDBCStorageHandler table fails with NPE when CBO is off,Closed,"3.1.0, 3.1.1, 3.1.2"
HIVE-23872,SemanticException Failed to get a spark session: org.apache.hadoop.hive.ql.metadata.HiveException: Failed to create Spark client for Spark session,Resolved,3.1.2
HIVE-23851,MSCK REPAIR Command With Partition Filtering Fails While Dropping Partitions,Closed,4.0.0
HIVE-23808,"""MSCK REPAIR.. DROP Partitions fail"" with kryo Exception ",Resolved,3.2.0
HIVE-23807,Wrong results with vectorization enabled,Resolved,2.3.0
HIVE-23802,“merge files” job was submited to default queue when set hive.merge.tezfiles to true,Resolved,3.1.0
HIVE-23763,Query based minor compaction produces wrong files when rows with different buckets Ids are processed by the same FileSinkOperator,Closed,4.0.0
HIVE-23752,Cast as Date for invalid date produce the valid output,Resolved,4.0.0
HIVE-23719,MetaStoreDirectSql need to optime QuerySQL,Resolved,"3.0.0, 3.1.2"
HIVE-23717,In jdbcUrl add config to create External + purge table by default	,Closed,3.1.0
HIVE-23704,Thrift HTTP Server Does Not Handle Auth Handle Correctly,Closed,"2.3.7, 3.1.2"
HIVE-23606,LLAP: Delay In DirectByteBuffer Clean Up For EncodedReaderImpl,Closed,3.0.0
HIVE-23592,"Routine ""makeIntPair"" is Not Correct",Closed,3.2.0
HIVE-23583,Upgrade to ant 1.10.9 due to CVEs,Closed,3.1.2
HIVE-23582,LLAP: Make SplitLocationProvider impl pluggable,Closed,4.0.0
HIVE-23580,"deleteOnExit set is not cleaned up, causing memory pressure",Closed,4.0.0
HIVE-23550,GetSplits does not retries queries for CacliteSemanticException,Resolved,3.1.0
HIVE-23498,Disable HTTP Trace method on ThriftHttpCliService,Closed,3.1.2
HIVE-23489,dynamic partition failed use insert overwrite,Resolved,2.1.1
HIVE-23454,Querying hive table which has Materialized view fails with HiveAccessControlException,Closed,"3.0.0, 3.2.0"
HIVE-23452,Exception occur when a SQL query across data stored in two relational DB by JDBCStorageHandler with Tez,Resolved,3.1.0
HIVE-23442,ACID major compaction doesn't read base directory correctly if it was written by insert overwrite,Closed,4.0.0
HIVE-23435,Full outer join result is missing rows ,Closed,3.1.0
HIVE-23423,Check of disabling hash aggregation ignores grouping set,Closed,4.0.0
HIVE-23408,Hive on Tez :  Kafka storage handler broken in secure environment,Closed,4.0.0
HIVE-23358,MSCK REPAIR should remove all insignificant zeroes from numeric partition values,Closed,4.0.0
HIVE-23347,MSCK REPAIR cannot discover partitions with upper case directory names.,Closed,3.1.0
HIVE-23345,INT64 Parquet timestamps cannot be read into bigint Hive type,Closed,4.0.0
HIVE-23339,SBA does not check permissions for DB location specified in Create or Alter database query,Closed,"3.1.0, 4.0.0"
